model_id,model_code,model_name,model_full_name
16542,1010D,1010D - FORWARDER,"1010D Forwarder (S.N. 004001- ), Tier 3, Engine 4045HTJ85 - PC9496"
17304,4045HTJ85,4045HTJ85 - FORWARDER,"1010D Forwarder (S.N. 004001- ), Tier 3, Engine 4045HTJ85 - PC9496"
16541,1010D,1010D - FORWARDER,1010D Forwarder (S.N. 3501-4000) - PC9245
16575,1110D,1110D - FORWARDER,"1110D Forwarder (S.N. 002301- ), Tier 3, Engine 6068HTJ85 - PC9497"
18017,6068HTJ85,6068HTJ85 - FORWARDER,"1110D Forwarder (S.N. 002301- ), Tier 3, Engine 6068HTJ85 - PC9497"
16574,1110D,1110D - FORWARDER,1110D Forwarder (s.n. 1121 - 2036) Worldwide Edition (Timberjack) - PC9263
17167,4045HDW60,"4045HDW60 - LOADER, FOUR-WHEEL DRIVE","444 P-tier, Gen-A 4WD Loader (PIN: 1DW444PA_ _L_10283-18489) - PC15397"
17440,444 P,"444 P - LOADER, FOUR-WHEEL DRIVE","444 P-tier, Gen-A 4WD Loader (PIN: 1DW444PA_ _L_10283-18489) - PC15397"
17168,4045HDW60,"4045HDW60 - LOADER, FOUR-WHEEL DRIVE","444 P-tier, Gen-A 4WD Loader (PIN: 1DW444PA_ _L_18490- ) - PC15490"
17441,444 P,"444 P - LOADER, FOUR-WHEEL DRIVE","444 P-tier, Gen-A 4WD Loader (PIN: 1DW444PA_ _L_18490- ) - PC15490"
17161,4045HDW54,"4045HDW54 - LOADER, FOUR-WHEEL DRIVE",444K Loader (PIN: 1DW444K_ _ _D670308-705033)(Engine 4045HDW54) - PC11365
17456,444K,"444K - LOADER, FOUR-WHEEL DRIVE",444K Loader (PIN: 1DW444K_ _ _D670308-705033)(Engine 4045HDW54) - PC11365
17164,4045HDW57,"4045HDW57 - LOADER, FOUR-WHEEL DRIVE",444K Loader (PIN: 1DW444K_ _ _F670308-705033)(Engine 4045HDW57) - PC11364
17455,444K,"444K - LOADER, FOUR-WHEEL DRIVE",444K Loader (PIN: 1DW444K_ _ _F670308-705033)(Engine 4045HDW57) - PC11364
17166,4045HDW60,"4045HDW60 - LOADER, FOUR-WHEEL DRIVE",444L Loader (PIN: 1DW444L_ _ _L705208-710224) - PC15310
17457,444L,"444L - LOADER, FOUR-WHEEL DRIVE",444L Loader (PIN: 1DW444L_ _ _L705208-710224) - PC15310
17576,524 P,"524 P - LOADER, FOUR-WHEEL DRIVE",524 P 4WD Loader (PIN: 1DW524PA_ _L_18490-25721) - PC15491
17715,6068DW501,"6068DW501 - LOADER, FOUR-WHEEL DRIVE",524 P 4WD Loader (PIN: 1DW524PA_ _L_18490-25721) - PC15491
17575,524 P,"524 P - LOADER, FOUR-WHEEL DRIVE","524 P-tier, Gen-A 4WD Loader (PIN: 1DW524PA_ _L_10283-18489) - PC15398"
17713,6068DW501,"6068DW501 - LOADER, FOUR-WHEEL DRIVE","524 P-tier, Gen-A 4WD Loader (PIN: 1DW524PA_ _L_10283-18489) - PC15398"
17584,524K,"524K - LOADER, FOUR-WHEEL DRIVE",524K Loader (PIN: 1DW524K_ _ _F670308-677548) Engine 6068HDW92 - PC11366
17833,6068HDW92,"6068HDW92 - LOADER, FOUR-WHEEL DRIVE",524K Loader (PIN: 1DW524K_ _ _F670308-677548) Engine 6068HDW92 - PC11366
17578,524K-II,"524K-II - LOADER, FOUR-WHEEL DRIVE",524K-II Loader (PIN: 1DW524K_ _ _D677549-909519) Engine 6068HDW74 - PC15090
17772,6068HDW74,"6068HDW74 - LOADER, FOUR-WHEEL DRIVE",524K-II Loader (PIN: 1DW524K_ _ _D677549-909519) Engine 6068HDW74 - PC15090
17577,524K-II,"524K-II - LOADER, FOUR-WHEEL DRIVE",524K-II Loader (PIN: 1DW524K_ _ _F677549-909519) Engine 6068DW401 - PC15081
